Institute,Program,Quota,SeatType,Gender,OpeningRank,ClosingRank
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Artificial Intelligence (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,16577,20707
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Artificial Intelligence (4 Years, Bachelor of Technology)",HS,OPEN,Female-only (including Supernumerary),27776,27776
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Artificial Intelligence (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,3976,3976
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Artificial Intelligence (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,9967,13939
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Artificial Intelligence (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),17994,17994
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Artificial Intelligence (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,3332,3674
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Artificial Intelligence (4 Years, Bachelor of Technology)",HS,SC,Female-only (including Supernumerary),5831,5831
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Artificial Intelligence (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,2591,2591
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Artificial Intelligence (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,13176,14277
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Artificial Intelligence (4 Years, Bachelor of Technology)",OS,OPEN,Female-only (including Supernumerary),22677,22677
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Artificial Intelligence (4 Years, Bachelor of Technology)",OS,OPEN (PwD),Gender-Neutral,495,536
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Artificial Intelligence (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,1981,2023
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Artificial Intelligence (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,4198,4564
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Artificial Intelligence (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-only (including Supernumerary),9495,9495
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Artificial Intelligence (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,2534,2534
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Artificial Intelligence (4 Years, Bachelor of Technology)",OS,SC,Female-only (including Supernumerary),4467,4467
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Artificial Intelligence (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,1137,1137
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,58412,63423
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",HS,OPEN,Female-only (including Supernumerary),47336,64388
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",HS,OPEN (PwD),Gender-Neutral,4190,4190
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,10683,11366
